composicion,estrofa,caracter,verso,duracion,velocidad_m,minf0,maxf0,stMm,pendiente_v,st_t,pendiente_t
0,4,d,4,1.2236662953979263,6.537730123063057,209.07848057393846,353.91785636737586,9.112439669797224,-0.030688011924441552,-8.824911368514657,-33.043311882301694
0,4,d,5,1.2050217336715292,6.63888440885223,262.6588971988797,391.3359940271634,6.902608283483692,-0.010049662623379222,-3.565521255705667,-24.793712406367362
0,4,d,6,1.539196222269318,5.197517954017051,213.50236489363573,309.5318405104911,6.430029265573651,-0.018757331557834118,-5.059179952057694,-20.69425209941499
0,4,d,7,1.526654672851933,5.24021584072792,213.10460298388773,275.8184783092345,4.465888290025219,-0.012921039846748106,-3.448742321617509,-14.226409607393899
0,4,d,8,1.5560828708616299,5.141114364667649,206.41883868086128,451.2236245784217,13.539215532813039,0.003935683259447356,1.303078549791622,4.314891012778217
0,4,d,9,1.0188610572466956,7.8519047745515795,259.5356537208818,457.9543361139431,9.831252095009923,-0.01132875202627295,-2.9570020900173293,-19.991054565426055
0,4,d,10,1.2771899892283614,6.263750943454664,135.7321024147701,346.7006902808514,16.235144779401047,-0.08698472203511959,-12.813026191090392,-44.86973278297661
0,5,d,1,1.3629808580957103,5.869488153470626,183.12464600823577,423.08486576005276,14.497453308182376,-0.011370708503579963,-4.547822260351004,-19.92718966229005
0,5,d,2,1.1749306940432547,6.808912253768632,247.70916145556782,339.00110765756784,5.431713120017481,-0.000906127130787627,2.4177136299253044,9.89328461488476
0,5,d,3,1.3395934547696413,5.971961098731774,219.45267431480806,271.78302940549037,3.7025462781061425,-0.009739787466609636,-2.2381010288053504,-20.78535427231172
0,5,d,4,1.4832565581007202,5.3935375888334764,207.63902404084965,398.5463770338927,11.28804002468391,-0.033199352583230535,-10.38860109983695,-32.148306682310206
0,5,d,5,1.4520783852539694,5.509344454983259,263.86268575572086,434.2313515067416,8.624118557969393,-0.01237073391623612,-5.383017729403392,-24.011751831215253
0,5,d,6,1.5945029321926825,5.017237559418465,227.60464729399425,386.39704979129027,9.162648764406676,-0.015839868329690594,-6.153436118481315,-22.40267108895947
0,5,d,7,1.4495481201751659,5.518961315360311,216.26548540998553,286.3347167562794,4.858789947196254,-0.007388948147686266,-2.2549017931929907,-9.793632319832092
0,5,d,8,1.6782164841766445,4.766965451376142,216.62442266316611,444.061870647131,12.426777543444516,0.004250233305885853,1.5956171609505043,3.9700560370390416
0,5,d,9,1.3390307482240473,5.974470721161838,262.48397488060624,471.00283114701074,10.122076624931221,-0.010346149369295525,-3.2531068063150523,-12.885738808486504
0,5,d,10,1.2178570019849388,6.5689157158526035,217.10331554487377,322.2391096819721,6.836998126118291,0.02246940334473877,5.478590764111516,36.1851889699155
